ID,Twitter
1,rogersparknews
2,WestRidgecofc
3,UptownUnited
4,LSRCC_Chicago
5,Northcenter
6,LakeviewEast
7,LPCC09
8,ONENorthside
9,edison_park
10,ChicagoCAPS16
11,PandJParkGuide
12,ChicagoCAPS16
13,HNPCAChicago
14,albanyparkiship
15,PandJParkGuide
16,ChicagoCAPS17
17,DunningWatch
18,chris29thward
19,ChicagoCAPS16
20,31Progress_Org
21,ADayInAvondale
22,LoganSquarist
23,ChicagoCAPS11
24,WestTownChicago
25,ChicagoCAPS15
26,ChicagoCAPS11
27,ChicagoCAPS11
28,wcachicago
29,nlcccchicago
30,ChicagoCAPS10
31,ChicagoCAPS12
32,ChiLoopAlliance
33,SouthSideWeekly
34,AldPatDThompson
35,aldsophiaking
36,aldsophiaking
37,AldPatDowell3rd
38,aldsophiaking
39,aldsophiaking
40,Chicago20thWard
41,HydeParkHerald
42,Chicago20thWard
43,SouthSideWeekly
44,ChicagoCAPS09
45,6thWardChicago
46,SouthSideWeekly
47,AldermanHarris
48,ChicagoCAPS05
49,ChicagoCAPS05
50,ChicagoCAPS05
51,ChicagoCAPS09
52,ChicagoCAPS01
53,ChicagoCAPS05
54,ChicagoCAPS09
55,SSadlowskiGarza
56,GarfieldRidge
57,ChicagoCAPS08
58,ChicagoCAPS08
59,McKinleyChicago
60,ChicagoCAPS09
61,newcity
62,ChicagoCAPS08
63,ChicagoCAPS16
64,ChicagoCAPS23
65,ChicagoCAPS08
66,ChicagoCAPS08
67,ChicagoCAPS07
68,ChicagoCAPS07
69,ChicagoCAPS03
70,ChicagoCAPS18
71,GADC_Chicago
72,BevRevNews
73,ChicagoCAPS22
74,BevRevNews
75,BevRevNews
76,aldnapolitano41
77,ChicagoCAPS20
